,cluster,X_cent,Y_cent
0,0,143.0,269.0
1,1,310.0,288.0
2,2,241.0,282.0
3,3,25.0,242.0
4,4,128.0,140.0
5,5,356.0,159.0
6,6,222.0,89.0
7,7,65.0,314.0
8,8,64.0,175.0
9,9,172.0,321.0
10,10,188.0,97.0
11,11,315.0,359.0
12,12,33.0,204.0
13,13,150.0,349.0
14,14,272.0,331.0
15,15,78.0,232.0
16,16,260.0,147.0
17,17,133.0,326.0
18,18,276.0,107.0
19,19,290.0,271.0
20,20,28.0,282.0
21,21,303.0,112.0
22,22,339.0,266.0
23,23,235.0,317.0
24,24,330.0,128.0
25,25,156.0,155.0
26,26,115.0,248.0
27,27,366.0,205.0
28,28,255.0,90.0
29,29,96.0,157.0
30,30,274.0,296.0
31,31,158.0,113.0
32,32,184.0,172.0
33,33,208.0,273.0
34,34,122.0,293.0
35,35,360.0,117.0
36,36,357.0,240.0
37,37,104.0,328.0
38,38,207.0,54.0
39,39,389.0,31.0
